Country,Exists_in_hazardous
Australia,False
Canada,False
Czech Republic,False
Israel,False
Japan,False
Republic of Korea,False
New Zealand,False
Oman,False
San Marino,False
Switzerland,False
Taiwan,False
United States,False
,False
,False
,False
,False
,False
,False
,False
,False
,False
,False
,False
,False
Angola,False
Aruba,False
Bahamas,False
Barbados,False
Bosnia & Herzegovina,False
Brunei,False
Brazil,False
Cambodia,False
Chile,False
Colombia,False
Comoros,False
Costa Rica,False
C̫te d'Ivoire,False
Djibouti,False
Dominican Republic,False
Egypt,False
El Salvador,False
Equatorial Guinea,False
Eritrea,False
Gabon,False
Gambia,False
Ghana,False
Indonesia,False
Iran,False
Mozambique,False
Nauru,False
Nicaragua,False
Puerto Rico,False
Qatar,False
Seychelles,False
Sri Lanka,False
Vietnam,False
Yemen,False
