Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa Eastern and Southern,True,True,True,True,True,True,True,True,True,True,True,True,True
Afghanistan,True,True,True,True,True,True,True,True,True,True,True,True,True
Africa Western and Central,True,True,True,True,True,True,True,True,True,True,True,True,True
Angola,True,True,True,True,True,True,True,True,True,True,True,True,True
Albania,True,True,True,True,True,True,True,True,True,True,True,True,True
Andorra,True,True,True,True,True,True,True,True,True,True,True,True,True
Arab World,True,True,True,True,True,True,True,True,True,True,True,True,True
United Arab Emirates,True,True,True,True,True,True,True,True,True,True,True,True,True
Argentina,True,True,True,True,True,True,True,True,True,True,True,True,True
Armenia,True,True,True,True,True,True,True,True,True,True,True,True,True
Antigua and Barbuda,True,True,True,True,True,True,True,True,True,True,True,True,True
Australia,True,True,True,True,True,True,True,True,True,True,True,True,True
Austria,True,True,True,True,True,True,True,True,True,True,True,True,True
Azerbaijan,True,True,True,True,True,True,True,True,True,True,True,True,True
Burundi,True,True,True,True,True,True,True,True,True,True,True,True,True
Belgium,True,True,True,True,True,True,True,True,True,True,True,True,True
Benin,True,True,True,True,True,True,True,True,True,True,True,True,True
Burkina Faso,True,True,True,True,True,True,True,True,True,True,True,True,True
Bangladesh,True,True,True,True,True,True,True,True,True,True,True,True,True
Bulgaria,True,True,True,True,True,True,True,True,True,True,True,True,True
Bahrain,True,True,True,True,True,True,True,True,True,True,True,True,True
"Bahamas, The",True,True,True,True,True,True,True,True,True,True,True,True,True
Bosnia and Herzegovina,True,True,True,True,True,True,True,True,True,True,True,True,True
Belarus,True,True,True,True,True,True,True,True,True,True,True,True,True
Belize,True,True,True,True,True,True,True,True,True,True,True,True,True
Bolivia,True,True,True,True,True,True,True,True,True,True,True,True,True
Brazil,True,True,True,True,True,True,True,True,True,True,True,True,True
Barbados,True,True,True,True,True,True,True,True,True,True,True,True,True
Brunei Darussalam,True,True,True,True,True,True,True,True,True,True,True,True,True
Bhutan,True,True,True,True,True,True,True,True,True,True,True,True,True
Botswana,True,True,True,True,True,True,True,True,True,True,True,True,True
Central African Republic,True,True,True,True,True,True,True,True,True,True,True,True,True
Canada,True,True,True,True,True,True,True,True,True,True,True,True,True
Central Europe and the Baltics,True,True,True,True,True,True,True,True,True,True,True,True,True
Switzerland,True,True,True,True,True,True,True,True,True,True,True,True,True
Chile,True,True,True,True,True,True,True,True,True,True,True,True,True
China,True,True,True,True,True,True,True,True,True,True,True,True,True
Cote d'Ivoire,True,True,True,True,True,True,True,True,True,True,True,True,True
Cameroon,True,True,True,True,True,True,True,True,True,True,True,True,True
"Congo, Dem. Rep.",True,True,True,True,True,True,True,True,True,True,True,True,True
"Congo, Rep.",True,True,True,True,True,True,True,True,True,True,True,True,True
Colombia,True,True,True,True,True,True,True,True,True,True,True,True,True
Comoros,True,True,True,True,True,True,True,True,True,True,True,True,True
Cabo Verde,True,True,True,True,True,True,True,True,True,True,True,True,True
Costa Rica,True,True,True,True,True,True,True,True,True,True,True,True,True
Caribbean small states,True,True,True,True,True,True,True,True,True,True,True,True,True
Cyprus,True,True,True,True,True,True,True,True,True,True,True,True,True
Czechia,True,True,True,True,True,True,True,True,True,True,True,True,True
Germany,True,True,True,True,True,True,True,True,True,True,True,True,True
Djibouti,True,True,True,True,True,True,True,True,True,True,True,True,True
Dominica,True,True,True,True,True,True,True,True,True,True,True,True,True
Denmark,True,True,True,True,True,True,True,True,True,True,True,True,True
Dominican Republic,True,True,True,True,True,True,True,True,True,True,True,True,True
Algeria,True,True,True,True,True,True,True,True,True,True,True,True,True
East Asia & Pacific (excluding high income),True,True,True,True,True,True,True,True,True,True,True,True,True
Early-demographic dividend,True,True,True,True,True,True,True,True,True,True,True,True,True
East Asia & Pacific,True,True,True,True,True,True,True,True,True,True,True,True,True
Europe & Central Asia (excluding high income),True,True,True,True,True,True,True,True,True,True,True,True,True
Europe & Central Asia,True,True,True,True,True,True,True,True,True,True,True,True,True
Ecuador,True,True,True,True,True,True,True,True,True,True,True,True,True
"Egypt, Arab Rep.",True,True,True,True,True,True,True,True,True,True,True,True,True
Euro area,True,True,True,True,True,True,True,True,True,True,True,True,True
Eritrea,True,True,True,True,True,True,True,True,True,True,True,True,True
Spain,True,True,True,True,True,True,True,True,True,True,True,True,True
Estonia,True,True,True,True,True,True,True,True,True,True,True,True,True
Ethiopia,True,True,True,True,True,True,True,True,True,True,True,True,True
European Union,True,True,True,True,True,True,True,True,True,True,True,True,True
Fragile and conflict affected situations,True,True,True,True,True,True,True,True,True,True,True,True,True
Finland,True,True,True,True,True,True,True,True,True,True,True,True,True
Fiji,True,True,True,True,True,True,True,True,True,True,True,True,True
France,True,True,True,True,True,True,True,True,True,True,True,True,True
"Micronesia, Fed. Sts.",True,True,True,True,True,True,True,True,True,True,True,True,True
Gabon,True,True,True,True,True,True,True,True,True,True,True,True,True
United Kingdom,True,True,True,True,True,True,True,True,True,True,True,True,True
Georgia,True,True,True,True,True,True,True,True,True,True,True,True,True
Ghana,True,True,True,True,True,True,True,True,True,True,True,True,True
Guinea,True,True,True,True,True,True,True,True,True,True,True,True,True
"Gambia, The",True,True,True,True,True,True,True,True,True,True,True,True,True
Guinea-Bissau,True,True,True,True,True,True,True,True,True,True,True,True,True
Equatorial Guinea,True,True,True,True,True,True,True,True,True,True,True,True,True
Greece,True,True,True,True,True,True,True,True,True,True,True,True,True
Grenada,True,True,True,True,True,True,True,True,True,True,True,True,True
Guatemala,True,True,True,True,True,True,True,True,True,True,True,True,True
Guyana,True,True,True,True,True,True,True,True,True,True,True,True,True
High income,True,True,True,True,True,True,True,True,True,True,True,True,True
Honduras,True,True,True,True,True,True,True,True,True,True,True,True,True
Heavily indebted poor countries (HIPC),True,True,True,True,True,True,True,True,True,True,True,True,True
Croatia,True,True,True,True,True,True,True,True,True,True,True,True,True
Haiti,True,True,True,True,True,True,True,True,True,True,True,True,True
Hungary,True,True,True,True,True,True,True,True,True,True,True,True,True
IBRD only,True,True,True,True,True,True,True,True,True,True,True,True,True
IDA & IBRD total,True,True,True,True,True,True,True,True,True,True,True,True,True
IDA total,True,True,True,True,True,True,True,True,True,True,True,True,True
IDA blend,True,True,True,True,True,True,True,True,True,True,True,True,True
Indonesia,True,True,True,True,True,True,True,True,True,True,True,True,True
IDA only,True,True,True,True,True,True,True,True,True,True,True,True,True
India,True,True,True,True,True,True,True,True,True,True,True,True,True
Ireland,True,True,True,True,True,True,True,True,True,True,True,True,True
"Iran, Islamic Rep.",True,True,True,True,True,True,True,True,True,True,True,True,True
Iraq,True,True,True,True,True,True,True,True,True,True,True,True,True
Iceland,True,True,True,True,True,True,True,True,True,True,True,True,True
Israel,True,True,True,True,True,True,True,True,True,True,True,True,True
Italy,True,True,True,True,True,True,True,True,True,True,True,True,True
Jamaica,True,True,True,True,True,True,True,True,True,True,True,True,True
Jordan,True,True,True,True,True,True,True,True,True,True,True,True,True
Japan,True,True,True,True,True,True,True,True,True,True,True,True,True
Kazakhstan,True,True,True,True,True,True,True,True,True,True,True,True,True
Kenya,True,True,True,True,True,True,True,True,True,True,True,True,True
Kyrgyz Republic,True,True,True,True,True,True,True,True,True,True,True,True,True
Cambodia,True,True,True,True,True,True,True,True,True,True,True,True,True
Kiribati,True,True,True,True,True,True,True,True,True,True,True,True,True
St. Kitts and Nevis,True,True,True,True,True,True,True,True,True,True,True,True,True
"Korea, Rep.",True,True,True,True,True,True,True,True,True,True,True,True,True
Kuwait,True,True,True,True,True,True,True,True,True,True,True,True,True
Latin America & Caribbean (excluding high income),True,True,True,True,True,True,True,True,True,True,True,True,True
Lao PDR,True,True,True,True,True,True,True,True,True,True,True,True,True
Lebanon,True,True,True,True,True,True,True,True,True,True,True,True,True
Liberia,True,True,True,True,True,True,True,True,True,True,True,True,True
Libya,True,True,True,True,True,True,True,True,True,True,True,True,True
St. Lucia,True,True,True,True,True,True,True,True,True,True,True,True,True
Latin America & Caribbean,True,True,True,True,True,True,True,True,True,True,True,True,True
Least developed countries: UN classification,True,True,True,True,True,True,True,True,True,True,True,True,True
Low income,True,True,True,True,True,True,True,True,True,True,True,True,True
Sri Lanka,True,True,True,True,True,True,True,True,True,True,True,True,True
Lower middle income,True,True,True,True,True,True,True,True,True,True,True,True,True
Low & middle income,True,True,True,True,True,True,True,True,True,True,True,True,True
Lesotho,True,True,True,True,True,True,True,True,True,True,True,True,True
Late-demographic dividend,True,True,True,True,True,True,True,True,True,True,True,True,True
Lithuania,True,True,True,True,True,True,True,True,True,True,True,True,True
Luxembourg,True,True,True,True,True,True,True,True,True,True,True,True,True
Latvia,True,True,True,True,True,True,True,True,True,True,True,True,True
Morocco,True,True,True,True,True,True,True,True,True,True,True,True,True
Monaco,True,True,True,True,True,True,True,True,True,True,True,True,True
Moldova,True,True,True,True,True,True,True,True,True,True,True,True,True
Madagascar,True,True,True,True,True,True,True,True,True,True,True,True,True
Maldives,True,True,True,True,True,True,True,True,True,True,True,True,True
"Middle East, North Africa, Afghanistan & Pakistan",True,True,True,True,True,True,True,True,True,True,True,True,True
Mexico,True,True,True,True,True,True,True,True,True,True,True,True,True
Marshall Islands,True,True,True,True,True,True,True,True,True,True,True,True,True
Middle income,True,True,True,True,True,True,True,True,True,True,True,True,True
North Macedonia,True,True,True,True,True,True,True,True,True,True,True,True,True
Mali,True,True,True,True,True,True,True,True,True,True,True,True,True
Malta,True,True,True,True,True,True,True,True,True,True,True,True,True
Myanmar,True,True,True,True,True,True,True,True,True,True,True,True,True
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",True,True,True,True,True,True,True,True,True,True,True,True,True
Mongolia,True,True,True,True,True,True,True,True,True,True,True,True,True
Mozambique,True,True,True,True,True,True,True,True,True,True,True,True,True
Mauritania,True,True,True,True,True,True,True,True,True,True,True,True,True
Mauritius,True,True,True,True,True,True,True,True,True,True,True,True,True
Malawi,True,True,True,True,True,True,True,True,True,True,True,True,True
Malaysia,True,True,True,True,True,True,True,True,True,True,True,True,True
North America,True,True,True,True,True,True,True,True,True,True,True,True,True
Namibia,True,True,True,True,True,True,True,True,True,True,True,True,True
Niger,True,True,True,True,True,True,True,True,True,True,True,True,True
Nigeria,True,True,True,True,True,True,True,True,True,True,True,True,True
Nicaragua,True,True,True,True,True,True,True,True,True,True,True,True,True
Netherlands,True,True,True,True,True,True,True,True,True,True,True,True,True
Norway,True,True,True,True,True,True,True,True,True,True,True,True,True
Nepal,True,True,True,True,True,True,True,True,True,True,True,True,True
Nauru,True,True,True,True,True,True,True,True,True,True,True,True,True
New Zealand,True,True,True,True,True,True,True,True,True,True,True,True,True
OECD members,True,True,True,True,True,True,True,True,True,True,True,True,True
Oman,True,True,True,True,True,True,True,True,True,True,True,True,True
Other small states,True,True,True,True,True,True,True,True,True,True,True,True,True
Pakistan,True,True,True,True,True,True,True,True,True,True,True,True,True
Panama,True,True,True,True,True,True,True,True,True,True,True,True,True
Peru,True,True,True,True,True,True,True,True,True,True,True,True,True
Philippines,True,True,True,True,True,True,True,True,True,True,True,True,True
Palau,True,True,True,True,True,True,True,True,True,True,True,True,True
Papua New Guinea,True,True,True,True,True,True,True,True,True,True,True,True,True
Poland,True,True,True,True,True,True,True,True,True,True,True,True,True
Pre-demographic dividend,True,True,True,True,True,True,True,True,True,True,True,True,True
Portugal,True,True,True,True,True,True,True,True,True,True,True,True,True
Paraguay,True,True,True,True,True,True,True,True,True,True,True,True,True
West Bank and Gaza,True,True,True,True,True,True,True,True,True,True,True,True,True
Pacific island small states,True,True,True,True,True,True,True,True,True,True,True,True,True
Post-demographic dividend,True,True,True,True,True,True,True,True,True,True,True,True,True
Qatar,True,True,True,True,True,True,True,True,True,True,True,True,True
Romania,True,True,True,True,True,True,True,True,True,True,True,True,True
Russian Federation,True,True,True,True,True,True,True,True,True,True,True,True,True
Rwanda,True,True,True,True,True,True,True,True,True,True,True,True,True
South Asia,True,True,True,True,True,True,True,True,True,True,True,True,True
Saudi Arabia,True,True,True,True,True,True,True,True,True,True,True,True,True
Sudan,True,True,True,True,True,True,True,True,True,True,True,True,True
Senegal,True,True,True,True,True,True,True,True,True,True,True,True,True
Singapore,True,True,True,True,True,True,True,True,True,True,True,True,True
Solomon Islands,True,True,True,True,True,True,True,True,True,True,True,True,True
Sierra Leone,True,True,True,True,True,True,True,True,True,True,True,True,True
El Salvador,True,True,True,True,True,True,True,True,True,True,True,True,True
San Marino,True,True,True,True,True,True,True,True,True,True,True,True,True
Serbia,True,True,True,True,True,True,True,True,True,True,True,True,True
Sub-Saharan Africa (excluding high income),True,True,True,True,True,True,True,True,True,True,True,True,True
Sub-Saharan Africa,True,True,True,True,True,True,True,True,True,True,True,True,True
Small states,True,True,True,True,True,True,True,True,True,True,True,True,True
Sao Tome and Principe,True,True,True,True,True,True,True,True,True,True,True,True,True
Suriname,True,True,True,True,True,True,True,True,True,True,True,True,True
Slovak Republic,True,True,True,True,True,True,True,True,True,True,True,True,True
Slovenia,True,True,True,True,True,True,True,True,True,True,True,True,True
Sweden,True,True,True,True,True,True,True,True,True,True,True,True,True
Eswatini,True,True,True,True,True,True,True,True,True,True,True,True,True
Seychelles,True,True,True,True,True,True,True,True,True,True,True,True,True
Syrian Arab Republic,True,True,True,True,True,True,True,True,True,True,True,True,True
Chad,True,True,True,True,True,True,True,True,True,True,True,True,True
East Asia & Pacific (IDA & IBRD countries),True,True,True,True,True,True,True,True,True,True,True,True,True
Europe & Central Asia (IDA & IBRD countries),True,True,True,True,True,True,True,True,True,True,True,True,True
Togo,True,True,True,True,True,True,True,True,True,True,True,True,True
Thailand,True,True,True,True,True,True,True,True,True,True,True,True,True
Tajikistan,True,True,True,True,True,True,True,True,True,True,True,True,True
Turkmenistan,True,True,True,True,True,True,True,True,True,True,True,True,True
Latin America & the Caribbean (IDA & IBRD countries),True,True,True,True,True,True,True,True,True,True,True,True,True
Timor-Leste,True,True,True,True,True,True,True,True,True,True,True,True,True
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",True,True,True,True,True,True,True,True,True,True,True,True,True
Tonga,True,True,True,True,True,True,True,True,True,True,True,True,True
South Asia (IDA & IBRD),True,True,True,True,True,True,True,True,True,True,True,True,True
Sub-Saharan Africa (IDA & IBRD countries),True,True,True,True,True,True,True,True,True,True,True,True,True
Trinidad and Tobago,True,True,True,True,True,True,True,True,True,True,True,True,True
Tunisia,True,True,True,True,True,True,True,True,True,True,True,True,True
Turkiye,True,True,True,True,True,True,True,True,True,True,True,True,True
Tuvalu,True,True,True,True,True,True,True,True,True,True,True,True,True
Tanzania,True,True,True,True,True,True,True,True,True,True,True,True,True
Uganda,True,True,True,True,True,True,True,True,True,True,True,True,True
Upper middle income,True,True,True,True,True,True,True,True,True,True,True,True,True
Uruguay,True,True,True,True,True,True,True,True,True,True,True,True,True
United States,True,True,True,True,True,True,True,True,True,True,True,True,True
Uzbekistan,True,True,True,True,True,True,True,True,True,True,True,True,True
St. Vincent and the Grenadines,True,True,True,True,True,True,True,True,True,True,True,True,True
Viet Nam,True,True,True,True,True,True,True,True,True,True,True,True,True
Vanuatu,True,True,True,True,True,True,True,True,True,True,True,True,True
World,True,True,True,True,True,True,True,True,True,True,True,True,True
Samoa,True,True,True,True,True,True,True,True,True,True,True,True,True
"Yemen, Rep.",True,True,True,True,True,True,True,True,True,True,True,True,True
South Africa,True,True,True,True,True,True,True,True,True,True,True,True,True
Zambia,True,True,True,True,True,True,True,True,True,True,True,True,True
Zimbabwe,True,True,True,True,True,True,True,True,True,True,True,True,True
